"","appid","name","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price"
"1",10,"Counter-Strike","2000/11/1",1,"Valve","Valve","windows;mac;linux",0,"Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled","Action","Action;FPS;Multiplayer",0,124534,3339,17612,317,"10000000-20000000",7.19
"2",20,"Team Fortress Classic","1999/4/1",1,"Valve","Valve","windows;mac;linux",0,"Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled","Action","Action;FPS;Multiplayer",0,3318,633,277,62,"5000000-10000000",3.99
"3",30,"Day of Defeat","2003/5/1",1,"Valve","Valve","windows;mac;linux",0,"Multi-player;Valve Anti-Cheat enabled","Action","FPS;World War II;Multiplayer",0,3416,398,187,34,"5000000-10000000",3.99
"4",40,"Deathmatch Classic","2001/6/1",1,"Valve","Valve","windows;mac;linux",0,"Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled","Action","Action;FPS;Multiplayer",0,1273,267,258,184,"5000000-10000000",3.99
"5",50,"Half-Life: Opposing Force","1999/11/1",1,"Gearbox Software","Valve","windows;mac;linux",0,"Single-player;Multi-player;Valve Anti-Cheat enabled","Action","FPS;Action;Sci-fi",0,5250,288,624,415,"5000000-10000000",3.99
"6",60,"Ricochet","2000/11/1",1,"Valve","Valve","windows;mac;linux",0,"Multi-player;Online Multi-Player;Valve Anti-Cheat enabled","Action","Action;FPS;Multiplayer",0,2758,684,175,10,"5000000-10000000",3.99
"7",70,"Half-Life","1998/11/8",1,"Valve","Valve","windows;mac;linux",0,"Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled","Action","FPS;Classic;Action",0,27755,1100,1300,83,"5000000-10000000",7.19
"8",80,"Counter-Strike: Condition Zero","2004/3/1",1,"Valve","Valve","windows;mac;linux",0,"Single-player;Multi-player;Valve Anti-Cheat enabled","Action","Action;FPS;Multiplayer",0,12120,1439,427,43,"10000000-20000000",7.19
"9",130,"Half-Life: Blue Shift","2001/6/1",1,"Gearbox Software","Valve","windows;mac;linux",0,"Single-player","Action","FPS;Action;Sci-fi",0,3822,420,361,205,"5000000-10000000",3.99
"10",220,"Half-Life 2","2004/11/16",1,"Valve","Valve","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK","Action","FPS;Action;Sci-fi",33,67902,2419,691,402,"10000000-20000000",7.19
"11",240,"Counter-Strike: Source","2004/11/1",1,"Valve","Valve","windows;mac;linux",0,"Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK","Action","Action;FPS;Multiplayer",147,76640,3497,6842,400,"10000000-20000000",7.19
"12",280,"Half-Life: Source","2004/6/1",1,"Valve","Valve","windows;mac;linux",0,"Single-player","Action","FPS;Action;Sci-fi",0,3767,1053,190,214,"2000000-5000000",0
"13",300,"Day of Defeat: Source","2010/7/12",1,"Valve","Valve","windows;mac;linux",0,"Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK","Action","FPS;World War II;Multiplayer",54,10489,1210,1356,134,"5000000-10000000",7.19
"14",320,"Half-Life 2: Deathmatch","2004/11/1",1,"Valve","Valve","windows;mac;linux",0,"Multi-player;Valve Anti-Cheat enabled;Includes Source SDK","Action","Action;FPS;Multiplayer",0,6020,787,311,32,"10000000-20000000",3.99
"15",340,"Half-Life 2: Lost Coast","2005/10/27",1,"Valve","Valve","windows;mac;linux",0,"Single-player;Commentary available","Action","FPS;Action;Singleplayer",0,5783,1020,46,29,"10000000-20000000",0
"16",360,"Half-Life Deathmatch: Source","2006/5/1",1,"Valve","Valve","windows;mac;linux",0,"Multi-player;Valve Anti-Cheat enabled","Action","Action;FPS;Multiplayer",0,1362,473,102,81,"5000000-10000000",0
"17",380,"Half-Life 2: Episode One","2006/6/1",1,"Valve","Valve","windows;mac;linux",0,"Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available","Action","FPS;Action;Sci-fi",13,7908,517,281,184,"5000000-10000000",5.79
"18",400,"Portal","2007/10/10",1,"Valve","Valve","windows;mac;linux",0,"Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available","Action","Puzzle;First-Person;Singleplayer",15,51801,1080,288,137,"10000000-20000000",7.19
"19",420,"Half-Life 2: Episode Two","2007/10/10",1,"Valve","Valve","windows;mac;linux",0,"Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available","Action","FPS;Action;Sci-fi",22,13902,696,354,301,"5000000-10000000",5.79
"20",440,"Team Fortress 2","2007/10/10",1,"Valve","Valve","windows;mac;linux",0,"Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available","Action;Free to Play","Free to Play;Multiplayer;FPS",520,515879,34036,8495,623,"20000000-50000000",0
"21",500,"Left 4 Dead","2008/11/17",1,"Valve","Valve","windows;mac",0,"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available","Action","Zombies;Co-op;FPS",73,17951,948,897,278,"5000000-10000000",7.19
"22",550,"Left 4 Dead 2","2009/11/19",1,"Valve","Valve","windows;mac;linux",0,"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available","Action","Zombies;Co-op;FPS",70,251789,8418,1615,566,"10000000-20000000",7.19
"23",570,"Dota 2","2013/7/9",1,"Valve","Valve","windows;mac;linux",0,"Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled","Action;Free to Play;Strategy","Free to Play;MOBA;Strategy",0,863507,142079,23944,801,"100000000-200000000",0
"24",620,"Portal 2","2011/4/18",1,"Valve","Valve","windows;mac;linux",0,"Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available","Action;Adventure","Puzzle;Co-op;First-Person",51,138220,1891,1102,520,"10000000-20000000",7.19
"25",630,"Alien Swarm","2010/7/19",1,"Valve","Valve","windows",0,"Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor","Action","Free to Play;Co-op;Action",66,17435,941,371,83,"2000000-5000000",0
"26",730,"Counter-Strike: Global Offensive","2012/8/21",1,"Valve;Hidden Path Entertainment","Valve","windows;mac;linux",0,"Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats","Action;Free to Play","FPS;Multiplayer;Shooter",167,2644404,402313,22494,6502,"50000000-100000000",0
"28",1200,"Red Orchestra: Ostfront 41-45","2006/3/14",1,"Tripwire Interactive","Tripwire Interactive","windows;mac;linux",0,"Multi-player;Steam Achievements;Valve Anti-Cheat enabled","Action","World War II;Action;FPS",44,1562,223,232,258,"500000-1000000",3.99
"29",1250,"Killing Floor","2009/5/14",1,"Tripwire Interactive","Tripwire Interactive","windows;mac;linux",0,"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor","Action","FPS;Zombies;Co-op",285,53710,2649,1328,306,"2000000-5000000",14.99
"31",1500,"Darwinia","2005/7/14",1,"Introversion Software","Introversion Software","windows;mac;linux",0,"Single-player","Indie;Strategy","Strategy;Indie;RTS",0,472,158,182,273,"500000-1000000",7.19
"32",1510,"Uplink","2006/8/23",1,"Introversion Software","Introversion Software","windows;mac;linux",0,"Single-player","Indie;Strategy","Hacking;Indie;Strategy",0,1602,152,65,77,"500000-1000000",6.99
"33",1520,"DEFCON","2006/9/29",1,"Introversion Software","Introversion Software","windows;mac;linux",0,"Single-player;Multi-player","Indie;Strategy","Strategy;Indie;Multiplayer",22,2057,344,80,119,"500000-1000000",7.19
"34",1530,"Multiwinia","2008/9/19",1,"Introversion Software","Introversion Software","windows;mac",0,"Single-player;Multi-player;Steam Achievements","Indie","Indie;RTS;Strategy",12,368,75,121,224,"500000-1000000",7.19
"38",1640,"Disciples II: Gallean's Return","2006/7/6",1,"Strategy First","Strategy First","windows",0,"Single-player;Multi-player;Co-op","Strategy","Turn-Based Strategy;Strategy;Classic",0,490,152,9,12,"100000-200000",4.99
"41",1700,"Arx Fatalis","2007/4/3",1,"Arkane Studios","Arkane Studios","windows",0,"Single-player","RPG","RPG;First-Person;Classic",0,671,106,11,21,"100000-200000",2.99
"42",1840,"Source Filmmaker","2012/7/10",1,"Valve","Valve","windows",0,"Steam Workshop","Animation & Modeling;Video Production","Animation & Modeling;Video Production;Free to Play",0,15083,1111,239,77,"1000000-2000000",0
"43",1900,"Earth 2160","2006/4/1",1,"Reality Pump Studios","Topware Interactive;ACE","windows;mac;linux",0,"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards","Strategy","Strategy;RTS;Sci-fi",0,498,238,405,414,"1000000-2000000",3.99
"44",1930,"Two Worlds Epic Edition","2009/4/30",1,"Reality Pump Studios","Topware Interactive","windows;mac;linux",0,"Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support","RPG","RPG;Open World;Fantasy",0,2656,1055,484,422,"1000000-2000000",6.99
"45",2100,"Dark Messiah of Might & Magic","2006/10/25",1,"Arkane Studios","Ubisoft","windows",0,"Single-player;Multi-player;Valve Anti-Cheat enabled","Action;RPG","RPG;Action;First-Person",0,4386,316,634,700,"1000000-2000000",4.29
"46",2200,"Quake III Arena","2007/8/3",1,"id Software","id Software","windows",0,"Single-player;Multi-player;Steam Cloud","Action","FPS;Action;Classic",0,1362,66,123,103,"200000-500000",12.99
"47",2210,"Quake IV","2011/8/4",1,"RavenSoft / id Software","Bethesda Softworks","windows",18,"Single-player;Multi-player;Steam Cloud","Action","FPS;Action;Shooter",0,891,171,36,32,"200000-500000",12.99
"48",2270,"Wolfenstein 3D","2007/8/3",1,"id Software","Bethesda-Softworks","windows",0,"Single-player;Steam Cloud","Action","FPS;Classic;Action",0,1773,87,69,110,"200000-500000",2.99
"49",2280,"Ultimate Doom","2007/8/3",1,"id Software","id Software","windows",0,"Single-player;Steam Cloud","Action","Classic;FPS;Action",0,3705,257,125,179,"500000-1000000",3.99
"50",2290,"Final DOOM","2007/8/3",1,"id Software","id Software","windows",0,"Single-player;Steam Cloud","Action","FPS;Action;Classic",0,573,82,120,114,"200000-500000",3.99
"51",2300,"DOOM II","2007/8/3",1,"id Software","id Software","windows",0,"Single-player;Multi-player;Steam Cloud","Action","Classic;FPS;Action",0,2517,182,90,78,"500000-1000000",3.99
"52",2310,"QUAKE","2007/8/3",1,"id Software","id Software","windows",0,"Single-player;Multi-player;Co-op;Steam Cloud","Action","FPS;Classic;Action",0,2618,136,167,189,"200000-500000",3.99
"53",2320,"QUAKE II","2007/8/3",1,"id Software","id Software","windows",0,"Single-player;Multi-player;Co-op;Steam Cloud","Action","FPS;Action;Classic",0,1369,107,291,349,"200000-500000",3.99
"60",2400,"The Ship: Murder Party","2006/7/11",1,"Outerlight Ltd.","Blazing Griffin Ltd.","windows",0,"Single-player;Multi-player;Steam Trading Cards;Valve Anti-Cheat enabled","Action;Indie;RPG","Multiplayer;Indie;Action",0,4819,792,233,239,"1000000-2000000",0
"62",2500,"Shadowgrounds","2006/5/8",1,"Frozenbyte","Frozenbyte","windows;mac",0,"Single-player;Shared/Split Screen;Steam Trading Cards","Action","Action;Sci-fi;Top-Down Shooter",0,973,248,186,258,"500000-1000000",3.99
"65",2600,"Vampire: The Masquerade - Bloodlines","2007/3/22",1,"Troika Games","Activision","windows",0,"Single-player","Action","RPG;Vampire;Cult Classic",0,6161,362,350,202,"500000-1000000",14.99
"66",2610,"GUN?","2006/10/13",1,"Neversoft","Activision","windows",0,"Single-player","Action","Western;Action;Open World",0,740,87,462,889,"50000-100000",9.99
"67",2620,"Call of Duty?","2006/10/13",1,"Infinity Ward","Activision","windows",0,"Single-player;Multi-player","Action","FPS;World War II;Action",0,1555,117,545,849,"200000-500000",14.99
"68",2630,"Call of Duty? 2","2006/10/13",1,"Infinity Ward;Aspyr (Mac)","Activision;Aspyr (Mac)","windows;mac",0,"Single-player;Multi-player","Action","Action;World War II;FPS",0,2434,236,750,1041,"200000-500000",14.99
"74",2810,"X3: Reunion","2006/7/21",1,"Egosoft","Egosoft","windows;mac;linux",0,"Single-player;Captions available;Steam Cloud","Strategy","Space;Simulation;Strategy",0,282,113,831,1232,"200000-500000",9.99
"75",2820,"X3: Terran Conflict","2008/10/16",1,"Egosoft","Egosoft","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud","Action;Simulation;Strategy","Space;Simulation;Sci-fi",33,1633,272,972,1273,"500000-1000000",15.99
"78",2870,"X Rebirth","2013/11/15",1,"Egosoft","Egosoft","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud","Action;Simulation","Space;Simulation;Sci-fi",69,2832,4032,1744,3386,"200000-500000",24.99
"82",2990,"FlatOut 2?","2006/12/21",1,"Bugbear Entertainment","Strategy First","windows",0,"Single-player","Racing","Racing;Destruction;Multiplayer",0,5438,343,293,351,"500000-1000000",5.99
"84",3020,"Call of Juarez?","2007/11/8",1,"Techland","Techland Publishing","windows",0,"Single-player;Multi-player;Steam Trading Cards","Action","Western;Action;FPS",0,793,198,46,60,"100000-200000",8.59
"87",3170,"King's Bounty: Armored Princess","2009/11/19",1,"Katauri Interactive","1C Entertainment","windows;mac",0,"Single-player;Steam Cloud","RPG;Strategy","RPG;Turn-Based Strategy;Strategy",0,482,53,1422,1429,"200000-500000",7.99
"93",3480,"Peggle Deluxe","2007/3/6",1,"PopCap Games, Inc.","PopCap Games, Inc.","windows;mac",0,"Single-player","Casual","Casual;Puzzle;Arcade",0,1106,66,214,254,"200000-500000",4.25
"104",3590,"Plants vs. Zombies GOTY Edition","2009/5/5",1,"PopCap Games, Inc.","PopCap Games, Inc.","windows;mac",0,"Single-player;Steam Achievements","Strategy","Tower Defense;Zombies;Strategy",21,14630,454,480,374,"1000000-2000000",4.25
"108",3700,"Sniper Elite","2009/7/16",1,"Rebellion","Rebellion","windows",0,"Single-player;Steam Trading Cards","Action","Action;Sniper;Stealth",0,1181,377,262,371,"500000-1000000",5.59
"110",3720,"Evil Genius","2009/6/22",1,"Elixir Studios","Rebellion","windows",0,"Single-player","Strategy","Base-Building;Strategy;Villain Protagonist",0,1847,95,287,318,"200000-500000",6.99
"111",3730,"Aliens versus Predator Classic 2000","2010/1/15",1,"Rebellion","Rebellion","windows",0,"Single-player;Multi-player","Action","FPS;Action;Classic",0,1434,219,20,24,"200000-500000",3.99
"115",3830,"Psychonauts","2006/10/11",1,"Double Fine Productions","Double Fine Productions","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud","Action","Platformer;Comedy;Adventure",37,8204,456,491,232,"2000000-5000000",6.99
"116",3900,"Sid Meier's Civilization? IV","2006/10/25",1,"Firaxis Games","2K","windows;mac",0,"Single-player;Multi-player;Includes level editor","Strategy","Strategy;Turn-Based Strategy;Turn-Based",0,1394,129,49,64,"1000000-2000000",9.99
"117",3910,"Sid Meier's Civilization? III Complete","2006/10/25",1,"Firaxis Games","2K","windows",0,"Single-player;Multi-player;Includes level editor","Strategy","Strategy;Turn-Based Strategy;Turn-Based",0,2578,405,1166,13,"2000000-5000000",2.99
"118",3920,"Sid Meier's Pirates!","2005/7/11",1,"Firaxis Games","2K","windows",0,"Single-player","RPG","Pirates;Open World;RPG",0,2641,193,296,436,"500000-1000000",5.99
"122",4000,"Garry's Mod","2006/11/29",1,"Facepunch Studios","Valve","windows;mac;linux",0,"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor","Indie;Simulation","Sandbox;Multiplayer;Funny",29,363721,16433,12422,1875,"10000000-20000000",6.99
"130",4500,"S.T.A.L.K.E.R.: Shadow of Chernobyl","2007/3/20",1,"GSC Game World","GSC Game World","windows",0,"Single-player;Multi-player","Action;RPG","Atmospheric;Post-apocalyptic;Open World",0,11039,570,493,360,"1000000-2000000",9.99
"131",4520,"Full Spectrum Warrior","2007/7/17",1,"Pandemic Studios","THQ Nordic","windows",0,"Single-player;Multi-player;Co-op","Action;Strategy","Strategy;Action;Tactical",0,106,60,124,244,"100000-200000",7.99
"133",4560,"Company of Heroes - Legacy Edition","2007/7/17",1,"Relic Entertainment","SEGA","windows",18,"Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud","Violent;Action;Strategy","Strategy;RTS;World War II",0,4772,320,175,186,"2000000-5000000",0
"134",4570,"Warhammer? 40,000: Dawn of War? - Game of the Year Edition","2007/8/7",1,"Relic Entertainment","SEGA","windows",16,"Single-player;Multi-player;Steam Trading Cards;Steam Cloud","Strategy","Strategy;Warhammer 40K;RTS",0,3485,206,309,340,"1000000-2000000",9.99
"135",4580,"Warhammer? 40,000: Dawn of War? - Dark Crusade","2007/8/7",1,"Relic Entertainment","SEGA","windows",16,"Single-player;Multi-player;Steam Cloud","Strategy","Strategy;Warhammer 40K;RTS",0,2849,133,543,620,"1000000-2000000",9.99
"136",4700,"Total War: MEDIEVAL II ¨C Definitive Edition","2006/11/15",1,"CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux)","SEGA;Feral Interactive (Mac);Feral Interactive (Linux)","windows;mac;linux",0,"Single-player;Multi-player;Steam Trading Cards","Strategy","Strategy;Medieval;Historical",0,10270,605,469,361,"2000000-5000000",0
"138",4760,"Rome: Total War? - Collection","2007/8/28",1,"CREATIVE ASSEMBLY","SEGA","windows",0,"Single-player;Multi-player;Steam Trading Cards","Strategy","Strategy;Historical;Rome",0,7806,562,897,1192,"1000000-2000000",8.99
"142",4850,"Cossacks: Back to War","2010/9/2",1,"GSC Game World","GSC World Publishing","windows",0,"Single-player;Multi-player","Strategy","Strategy;RTS;Classic",0,1081,143,1134,1208,"100000-200000",3.99
"147",4920,"Natural Selection 2","2012/10/30",1,"Unknown Worlds Entertainment","Unknown Worlds Entertainment","windows;linux",0,"Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor","Action;Indie;Strategy","Multiplayer;Strategy;FPS",67,8372,1498,627,253,"1000000-2000000",6.99
"148",6000,"STAR WARS? Republic Commando?","2009/7/8",1,"LucasArts","LucasArts;Lucasfilm;Disney Interactive","windows",0,"Single-player;Multi-player;Local Multi-Player;Steam Cloud","Action","Star Wars;Action;FPS",0,6392,379,369,265,"1000000-2000000",7.19
"149",6010,"Indiana Jones? and the Fate of Atlantis?","2009/7/8",1,"LucasArts","LucasArts;Lucasfilm;Disney Interactive","windows;mac",0,"Single-player;Steam Cloud","Adventure","Adventure;Point & Click;Classic",0,597,31,419,804,"100000-200000",4.79
"150",6020,"STAR WARS? Jedi Knight - Jedi Academy?","2009/9/16",1,"Raven Software;Aspyr (Mac)","LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive","windows;mac",0,"Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud","Action","Star Wars;Action;Sci-fi",0,5684,330,1254,174,"1000000-2000000",7.19
"151",6030,"STAR WARS? Jedi Knight II - Jedi Outcast?","2009/9/16",1,"Raven Software;Aspyr (Mac)","LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive","windows;mac",0,"Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud","Action","Star Wars;Action;Classic",0,2020,219,127,180,"1000000-2000000",7.19
"153",6060,"Star Wars: Battlefront 2 (Classic, 2005)","2009/7/8",1,"Pandemic Studios","Lucasfilm;LucasArts;Disney Interactive","windows",0,"Single-player;Multi-player;Online Multi-Player;Partial Controller Support;Steam Cloud","Action","Star Wars;Action;Multiplayer",0,29149,2425,618,320,"2000000-5000000",7.19
"156",6120,"Shank","2010/10/25",1,"Klei Entertainment","Klei Entertainment","windows;mac;linux",0,"Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud","Action;Indie","Action;Indie;Beat 'em up",12,1749,227,255,363,"200000-500000",7.19
"159",6220,"FlatOut","2007/2/2",1,"Bugbear Entertainment","Strategy First","windows",0,"Single-player;Multi-player","Racing","Racing;Destruction;Driving",0,1977,186,78,96,"200000-500000",4.99
"163",6310,"The Longest Journey","2007/5/1",1,"Funcom","Funcom","windows",0,"Single-player","Action;Adventure;RPG","Adventure;Point & Click;Female Protagonist",0,1152,102,14,19,"200000-500000",5.99
"164",6370,"Bloodline Champions","2011/10/28",1,"Stunlock Studios","Stunlock Studios","windows",0,"Single-player;Multi-player;MMO","Action;Free to Play;Massively Multiplayer","Free to Play;Action;MOBA",0,1365,226,70,102,"500000-1000000",0
"169",6800,"Commandos: Behind Enemy Lines","2007/3/15",1,"Pyro Studios","Kalypso Media Digital","windows",0,"Single-player;Multi-player;Co-op","Action","Strategy;Stealth;Action",0,1561,213,63,70,"500000-1000000",3.99
"170",6810,"Commandos: Beyond the Call of Duty","2007/3/15",1,"Pyro Studios","Kalypso Media Digital","windows",0,"Single-player;Multi-player;Co-op","Action","Action;Strategy;Tactical",0,404,71,12,14,"500000-1000000",3.99
"171",6830,"Commandos 2: Men of Courage","2007/3/15",1,"Pyro Studios","Kalypso Media Digital","windows",0,"Single-player;Multi-player;Co-op","Action","Strategy;Tactical;Stealth",0,1333,238,201,302,"500000-1000000",3.99
"172",6840,"Commandos 3: Destination Berlin","2007/3/15",1,"Pyro Studios","Kalypso Media Digital","windows",0,"Single-player;Multi-player;Co-op","Action","Strategy;Action;Tactical",0,421,265,14,20,"500000-1000000",3.99
"173",6850,"Hitman 2: Silent Assassin","2007/3/15",1,"Io-Interactive A/S","Io-Interactive A/S","windows",16,"Single-player","Action","Stealth;Action;Third Person",0,1514,260,63,58,"1000000-2000000",8.29
"174",6860,"Hitman: Blood Money","2007/3/15",1,"Io-Interactive A/S","Io-Interactive A/S","windows",18,"Single-player","Action","Stealth;Action;Third Person",0,5864,391,435,365,"1000000-2000000",9.29
"176",6880,"Just Cause","2007/3/15",1,"Avalanche Studios","Square Enix","windows",16,"Single-player","Action","Action;Open World;Shooter",0,1732,846,20,25,"1000000-2000000",4.99
"177",6900,"Hitman: Codename 47","2007/3/15",1,"IO Interactive A/S","IO Interactive A/S","windows",18,"Single-player","Action","Stealth;Action;Classic",0,1186,450,62,43,"1000000-2000000",7.19
"178",6910,"Deus Ex: Game of the Year Edition","2007/3/29",1,"Ion Storm","Square Enix","windows",16,"Single-player;Multi-player","Action","Cyberpunk;RPG;Stealth",0,6242,347,324,245,"1000000-2000000",4.99
"179",6920,"Deus Ex: Invisible War","2007/3/29",1,"Ion Storm","Square Enix","windows",16,"Single-player","Action","Cyberpunk;Action;FPS",0,649,433,24,31,"500000-1000000",4.99
"180",6980,"Thief: Deadly Shadows","2007/3/29",1,"Ion Storm","Square Enix","windows",0,"Single-player","Action","Stealth;Atmospheric;Action",0,1135,210,254,368,"500000-1000000",6.99
"181",7000,"Tomb Raider: Legend","2007/3/29",1,"Crystal Dynamics","Square Enix","windows",16,"Single-player;Partial Controller Support","Action;Adventure","Adventure;Action;Female Protagonist",0,1656,243,714,725,"500000-1000000",4.99
"190",7510,"X-Blades","2009/4/30",1,"Gaijin Entertainment","Topware Interactive","windows;mac;linux",0,"Single-player;Steam Trading Cards;Partial Controller Support","Nudity;Violent;Action;Adventure;RPG","Action;Hack and Slash;Female Protagonist",0,1566,981,313,341,"500000-1000000",6.99
"191",7520,"Two Worlds II HD","2011/2/3",1,"Reality Pump Studios","Topware Interactive, ACE","windows;mac",0,"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud","Nudity;Violent;RPG","RPG;Open World;Fantasy",61,3054,2051,327,403,"500000-1000000",14.99
"192",7530,"Two Worlds II Castle Defense","2011/6/14",1,"Reality Pump Studios","Topware Interactive","windows;mac",0,"Single-player;Steam Trading Cards;Steam Cloud","Strategy","Strategy;Tower Defense;Fantasy",0,153,194,320,330,"200000-500000",6.99
"193",7600,"Sid Meier's Railroads!","2007/5/4",1,"Firaxis Games;Feral Interactive (Mac)","2K;Feral Interactive (Mac)","windows;mac",0,"Single-player;Multi-player","Strategy","Strategy;Trains;Management",0,1114,570,165,253,"500000-1000000",5.99
"195",7620,"Railroad Tycoon II Platinum","2007/5/4",1,"PopTop","2K","windows",0,"Single-player","Strategy","Strategy;Management;Trains",0,420,82,1244,1261,"200000-500000",2.99
"196",7650,"X-COM: Terror From the Deep","2007/5/4",1,"MicroProse Software, Inc","2K","windows",0,"Single-player","Strategy","Strategy;Turn-Based;Sci-fi",0,385,32,66,82,"500000-1000000",2.99
"199",7760,"X-COM: UFO Defense","2008/9/4",1,"MicroProse Software, Inc","2K","windows",0,"Single-player","Strategy","Strategy;Classic;Turn-Based Strategy",0,2165,136,2235,2224,"1000000-2000000",2.99
"204",7940,"Call of Duty? 4: Modern Warfare?","2007/11/12",1,"Infinity Ward;Aspyr (Mac)","Activision;Aspyr (Mac)","windows;mac",0,"Single-player;Multi-player","Action","FPS;Action;Multiplayer",0,8725,821,1417,1503,"1000000-2000000",19.99
"205",8000,"Tomb Raider: Anniversary","2007/6/5",1,"Crystal Dynamics;Feral Interactive (Mac)","Square Enix;Feral Interactive (Mac)","windows",16,"Single-player;Partial Controller Support","Action;Adventure","Action;Adventure;Female Protagonist",0,1964,389,239,280,"500000-1000000",6.99
"208",8140,"Tomb Raider: Underworld","2008/11/21",1,"Crystal Dynamics","Square Enix","windows",16,"Single-player","Action;Adventure","Adventure;Action;Female Protagonist",0,1779,594,313,565,"500000-1000000",6.99
"210",8190,"Just Cause 2","2010/3/23",1,"Avalanche Studios","Square Enix","windows",18,"Single-player;Steam Achievements;Full controller support;Steam Cloud","Action;Adventure","Open World;Action;Sandbox",50,33636,3231,519,272,"2000000-5000000",9.99
"216",8500,"EVE Online","2010/12/15",1,"CCP","CCP","windows;mac",0,"Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards","Action;Free to Play;Massively Multiplayer;RPG;Strategy","Space;Massively Multiplayer;Sci-fi",0,8317,2832,5123,230,"1000000-2000000",0
"217",8600,"RACE 07","2007/10/15",1,"SimBin","SimBin","windows",0,"Single-player;Multi-player","Racing","Racing;Simulation;Driving",0,1684,348,1636,218,"1000000-2000000",2.49
"220",8870,"BioShock Infinite","2013/3/25",1,"Irrational Games;Aspyr (Mac);Virtual Programming (Linux)","2K;Aspyr (Mac)","windows;mac;linux",18,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action","FPS;Story Rich;Action",80,79442,3846,614,519,"2000000-5000000",19.99
