"","appid","name","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price"
"1488",219950,"NiGHTS Into Dreams","2012/12/17",1,"SEGA","SEGA","windows",0,"Single-player;Steam Achievements;Partial Controller Support","Adventure","Adventure;Classic;Great Soundtrack",13,553,79,9,16,"200000-500000",5.59
"1489",219990,"Grim Dawn","2016/2/25",1,"Crate Entertainment","Crate Entertainment","windows",0,"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action;Adventure;Indie;RPG","Action RPG;RPG;Hack and Slash",178,26805,2605,3651,1539,"1000000-2000000",19.99
"1490",220090,"The Journey Down: Chapter One","2013/1/9",1,"SkyGoblin","SkyGoblin","windows;mac;linux",0,"Single-player;Steam Trading Cards","Adventure;Indie","Adventure;Point & Click;Indie",0,902,129,303,327,"200000-500000",5.99
"1491",220160,"Trials Evolution: Gold Edition","2013/3/21",1,"Redlynx Ltd;Ubisoft  Shangha?","Ubisoft","windows",0,"Single-player;Multi-player;Partial Controller Support","Action;Racing","Racing;Action;Level Editor",0,1382,423,501,508,"200000-500000",16.99
"1492",220200,"Kerbal Space Program","2015/4/27",1,"Squad","Private Division ","windows;mac;linux",0,"Single-player;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud","Indie;Simulation","Space;Simulation;Sandbox",0,49328,5168,9223,351,"2000000-5000000",29.99
"1493",220240,"Far Cry 3","2012/11/28",1,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai","Ubisoft","windows",0,"Single-player;Multi-player;Co-op;Partial Controller Support","Action;Adventure","Open World;FPS;Action",0,46331,5622,836,794,"2000000-5000000",16.99
"1494",220260,"Farming Simulator 2013 Titanium Edition","2013/10/9",1,"Giants Software","Giants Software","windows;mac",0,"Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud","Casual;Simulation","Simulation;Multiplayer;Casual",16,3962,381,705,1357,"500000-1000000",11.39
"1496",220440,"DmC: Devil May Cry","2013/1/24",1,"Ninja Theory","Capcom","windows",16,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Action;Adventure","Action;Hack and Slash;Great Soundtrack",58,14820,956,533,558,"1000000-2000000",23.99
"1497",220460,"Cargo Commander","2012/11/1",1,"Serious Brew","Missing Link Games","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support","Action;Indie","Action;Indie;Platformer",19,641,140,663,694,"100000-200000",2.09
"1499",220700,"RPG Maker VX Ace","2012/12/10",1,"KADOKAWA","Degica","windows",0,"Steam Trading Cards;Steam Workshop","Design & Illustration;Web Publishing","Game Development;RPG;RPGMaker",0,3372,210,405,465,"500000-1000000",52.99
