appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
628150,Sangokushi Eiketsuden / 三國志英傑伝,2017/8/29,0,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Steam Cloud,RPG,RPG,0,18,3,0,0,0-20000,9.99
628160,Genghis Khan II: Clan of the Gray Wolf / 蒼き狼と白き牝鹿?元朝秘史,2017/6/27,0,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Steam Cloud,Strategy,Strategy,0,6,2,0,0,0-20000,9.99
628170,Uncharted Waters II / 大航海時代 II,2017/10/17,0,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Steam Cloud,RPG,RPG;Historical,0,36,11,0,0,0-20000,9.99
628180,Winning Post / ウイニングポスト,2017/7/25,0,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Steam Cloud,Simulation,Simulation,0,4,0,0,0,0-20000,9.99
628290,All Walls Must Fall - A Tech-Noir Tactics Game,2018/2/23,1,inbetweengames,inbetweengames,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;RPG;Strategy,Indie;Cyberpunk;RPG,153,137,30,0,0,0-20000,8.49
628340,1 vs 1 : Global Operations,2017/5/3,1,Blaiz Entertainment,Blaiz Entertainment,windows,0,Single-player;Steam Trading Cards,Action;Indie;Strategy,Strategy;Action;Indie,0,31,32,257,272,50000-100000,3.19
628400,Robot Shield,2017/7/10,1,Evradan,Dagestan Technology,windows,0,Single-player;Steam Trading Cards,Action;Indie,Action;Indie,0,7,14,313,316,20000-50000,3.19
628440,Multiplayer FPS Demo,2017/7/6,1,Vitor Pêgas,Oryzhon Studios,windows,0,Single-player;Multi-player;Online Multi-Player;Online Co-op,Action;Casual;Free to Play;Indie,Free to Play;Action;Casual,0,111,92,1,1,50000-100000,0
628450,Magnificent Ships: Volume 2,2017/5/18,1,VROOM,VROOM,windows,0,Single-player;Full controller support;Steam Trading Cards,Casual,Casual;VR;Sandbox,0,3,0,0,0,0-20000,7.19
628460,Lily of the Valley,2017/5/5,1,ebi-hime,ebi-hime,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Indie;Casual;Visual Novel,8,40,3,0,0,0-20000,1.99
