appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
536510,Hacker Series,2016/9/28,1,exosyphen studios,exosyphen studios,windows,0,Single-player,Indie;Simulation;Strategy,Simulation;Strategy;Indie,0,7,15,0,0,0-20000,0.79
536530,Marlene Betwixt,2016/10/25,1,Uzi Games,Uzi Games,windows,0,Single-player;Partial Controller Support,Action;Adventure;Casual;Indie,Casual;Adventure;Indie,0,11,8,0,0,0-20000,2.99
536560,CHAOS CODE -NEW SIGN OF CATASTROPHE-,2017/3/15,1,FK Digital;Arc System Works,Arc System Works,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,2D Fighter;Action;Fighting,34,56,12,96,96,0-20000,14.99
536630,Maze Sounds,2016/10/1,1,AMIDEA Games,AMIDEA Games,windows;mac;linux,0,Single-player;Partial Controller Support,Adventure;Indie,Adventure;Indie;Puzzle,15,14,20,0,0,0-20000,3.99
536640,Grimm: Dark Legacy,2016/11/2,1,Artplant,GamesCo,windows,0,Single-player;Online Multi-Player;MMO;Online Co-op;Steam Achievements;Partial Controller Support,Action;Adventure;Indie,Action;Adventure;Indie,60,40,39,0,0,0-20000,10.99
536660,JCB Pioneer: Mars,2017/9/1,1,Atomicom,GamesCo,windows,0,Single-player,Action;Adventure;Indie;Simulation;Early Access,Early Access;Simulation;Action,0,57,41,0,0,0-20000,18.99
536670,Fear Of Traffic,2018/12/6,1,Flavio Rausa,BitService srl,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Casual;Racing,Action;Casual;Racing,7,2,1,0,0,0-20000,2.89
536680,Miniature - The Story Puzzle,2016/10/28,1,purpleElephant,purpleElephant,windows,0,Single-player,Casual;Indie;Strategy,Indie;Casual;Strategy,0,26,25,0,0,0-20000,2.79
536690,AENTITY,2018/4/14,1,ARQUOIA,ARQUOIA,windows,0,Single-player;Steam Achievements;Full controller support,Adventure;Indie;Simulation,Relaxing;Surreal;Psychedelic,25,21,4,0,0,0-20000,11.99
536750,BoomTown! Deluxe,2016/10/14,1,Ish Games,Ish Games,windows,0,Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,Casual;Indie;Simulation;Strategy,Strategy;Simulation;Indie,25,51,14,0,0,20000-50000,1.69
536770,THE AWKWARD STEVE DUOLOGY,2017/7/17,1,"Oh, a Rock! Studios","Oh, a Rock! Studios",windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Casual;Indie,Indie;Adventure;Casual,3,28,0,0,0,0-20000,2.79
536780,Lost Grimoires: Stolen Kingdom,2016/11/10,1,World-Loom,Artifex Mundi,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Adventure;Casual;Hidden Object,13,70,14,0,0,20000-50000,6.99
536800,FILE 9,2016/9/30,1,"Cypress Inheritance, LLC","Cypress Inheritance, LLC",windows,0,Single-player;Steam Achievements,Action;Adventure;Indie;Strategy,Action;Adventure;Strategy,10,2,5,0,0,0-20000,44.99
536890,Glittermitten Grove,2016/12/13,1,Mostly Tigerproof,Adult Swim Games,windows;mac;linux,0,Single-player,Simulation;Strategy,Strategy;Simulation;2D,0,287,55,0,0,50000-100000,14.99
536920,Groggers!,2016/11/10,1,Indigo Studios,Indigo Studios,windows,0,Single-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Partial Controller Support,Action;Adventure;Casual;Indie,Action;Indie;Casual,15,2,1,0,0,0-20000,2.79
536930,MOBIUS FINAL FANTASY?,2017/2/5,1,Square Enix,Square Enix,windows,12,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud,Free to Play;RPG,Free to Play;RPG;Fantasy,35,2456,1082,462,689,1000000-2000000,0
536950,Legend of Ares,2017/5/31,1,Bono Games,RedFox Games,windows,0,Single-player;Online Multi-Player;MMO;In-App Purchases,Free to Play;Massively Multiplayer,Free to Play;Massively Multiplayer;MMORPG,0,22,22,0,0,20000-50000,0
536960,No Way Out - A Dead Realm Tale,2018/10/26,1,Game Mechanic Studios,3BLACKDOT,windows,0,Single-player;Full controller support,Action;Adventure;Indie;Strategy,Violent;Action;Adventure,0,11,4,0,0,0-20000,15.49
536990,Redie,2016/12/1,1,Rückert Broductions,Rückert Broductions,windows;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Violent;Gore;Action;Indie,Action;Indie;Gore,23,81,19,0,0,0-20000,6.99
537000,Nelo,2017/11/20,1,Magic and Mirrors,Magic and Mirrors,windows,0,Single-player;Local Co-op;Shared/Split Screen;Partial Controller Support,Action;Indie;Early Access,Early Access;Action;Indie,53,64,20,0,0,0-20000,15.49
537020,Legions of Tyrandel,2017/9/22,1,Sleepy Spider Studios,Sleepy Spider Studios,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats,Strategy,Strategy;Indie;Multiplayer,13,4,0,0,0,0-20000,10.99
537050,Bric - The Casual Indie Game,2016/10/6,1,Theodore Palser,Theodore Palser,windows,0,Single-player,Action;Adventure;Casual;Indie;Strategy,Casual;Adventure;Strategy,0,9,1,0,0,0-20000,1.59
537060,MagixHome? VR,2016/11/3,1,SKYOPT,SKYOPT,windows,0,Single-player,Free to Play;Simulation;Early Access,Early Access;Free to Play;Simulation,0,6,6,0,0,0-20000,0
537090,Die for the Empire,2016/10/7,1,NedoStudio,NedoStudio,windows,0,Single-player;Steam Trading Cards,Action,Action;Shoot 'Em Up,0,5,15,273,273,20000-50000,0.79
537100,Shuffle!,2016/11/22,1,Navel,YumeHaven,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Simulation,Anime;Visual Novel;Sexual Content,12,85,15,0,0,0-20000,14.99
537110,Angels of Death,2016/12/19,1,Vaka Game Magazine;Makoto Sanada,Vaka Game Magazine;AGM PLAYISM,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,Adventure;Indie;RPG,RPGMaker;Anime;Indie,0,1935,116,24,24,50000-100000,6.99
537130,Red Spider: Vengeance,2016/11/25,1,studio wasp,studio wasp,windows;mac,0,Single-player,Adventure,Adventure;Visual Novel,0,13,4,0,0,0-20000,0
537140,Nemesis Perspective,2016/12/21,1,Evocat Games,Kajak Games,windows,0,Single-player;Multi-player;Local Multi-Player;Full controller support,Action;Indie,Action;Indie;VR,0,38,3,0,0,0-20000,0
537170,4x4 Offroad Racing - Nitro,2017/3/10,1,magnussoft,magnussoft,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud,Racing;Simulation;Sports,Simulation;Racing;Sports,0,0,2,0,0,0-20000,7.19
537180,Digimon Masters Online,2016/11/3,1,"Move Games Co., Ltd.",MOVE ON USA CO.,windows,0,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;In-App Purchases,Action;Adventure;Casual;Free to Play;Massively Multiplayer;RPG,Free to Play;Anime;Adventure,0,2836,1350,447,641,1000000-2000000,0
537200,Defense Of Greece TD,2016/11/9,1,First Games Interactive,First Games Interactive ,windows;mac,0,Single-player;Steam Trading Cards,Casual;Indie;Strategy,Casual;Strategy;Indie,0,26,16,0,0,20000-50000,4.79
537280,Existence speed,2016/10/21,1,Kedexa,Kedexa,windows,0,Single-player;Steam Trading Cards,Casual,Casual,0,8,15,0,0,100000-200000,0.79
537340,Guts and Glory,2018/7/19,1,HakJak Productions,tinyBuild,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Stats;Steam Leaderboards;Includes level editor,Violent;Gore;Action;Casual;Indie;Racing,Gore;Action;Violent,30,1011,245,199,389,100000-200000,11.39
537360,JumpBall,2016/10/24,1,André Bertaglia,André Bertaglia,windows;mac;linux,0,Single-player;Local Multi-Player;Shared/Split Screen;Steam Trading Cards;Partial Controller Support,Casual;Indie;Sports,Indie;Casual;Sports,0,97,131,203,222,200000-500000,1.69
537380,Abyssal Zone,2017/1/26,1,Led,Led,windows;mac,0,Single-player;Multi-player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Casual;Indie,Indie;Casual;Puzzle,12,1,0,0,0,0-20000,5.19
537430,Inner Chains,2017/5/18,1,Telepaths Tree,IMGN.PRO,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Adventure,Action;Adventure;Horror,29,143,155,0,0,20000-50000,17.99
537450,ReCore: Definitive Edition,2018/9/14,1,Armature Studio;Comcept,Microsoft Studios,windows,0,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud,Action;Adventure,Adventure;Action;Female Protagonist,73,200,111,0,0,0-20000,14.99
537520,SYMMETRY,2018/2/20,1,Sleepless Clinic,IMGN.PRO,windows;mac,0,Single-player;Steam Achievements;Steam Cloud,Adventure;Indie;Simulation;Strategy,Strategy;Adventure;Simulation,17,74,60,0,0,0-20000,8.99
537540,The Last Journey,2017/4/25,1,Sleepless Clinic,IMGN.PRO,windows;mac,0,Single-player,Adventure;Indie;Simulation,Adventure;Indie;Simulation,0,16,14,0,0,0-20000,0
537590,Bridge to Nowhere,2016/10/4,1,Peter Labick,Peter Labick,windows,0,Single-player,Simulation;Early Access,Early Access;Simulation;VR,0,4,5,0,0,0-20000,0
537630,Tee Time Golf,2018/8/31,1,Barkers Crest Studio LLC,Barkers Crest Studio LLC,windows,0,Single-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards;Includes level editor,Sports;Early Access,Early Access;Golf;Sports,20,36,4,0,0,0-20000,7.19
537660,Brumm,2016/11/1,1,eiloware,eiloware,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Full controller support;Stats;Steam Leaderboards,Racing,Racing,0,4,2,0,0,0-20000,4.79
537700,Octave,2016/10/18,1,Anate Studio,Anate Studio,windows;mac,0,Single-player;Steam Trading Cards,Adventure;Indie,Indie;Adventure;Horror,0,86,31,235,242,50000-100000,1.99
537740,Dino Dini's Kick Off? Revival - Steam Edition,2017/9/12,1,Koo Games Ltd,The Digital Lounge;Plug In Digital,windows,0,Single-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Partial Controller Support,Simulation;Sports,Sports;Simulation;Multiplayer,21,27,18,0,0,0-20000,6.99
537750,Dungeon Of Doom Puzzle,2016/10/28,1,Codespace,Codespace,windows,0,Single-player,Adventure;Indie,Adventure;Indie;Puzzle,0,2,1,0,0,0-20000,1.59
537760,Arizona Rose and the Pirates' Riddles,2016/10/19,1,Anawiki Games,Anawiki Games,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Indie;Casual;Hidden Object,25,6,1,0,0,0-20000,6.99
537800,Bomber Crew,2017/10/19,1,Runner Duck,Curve Digital,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Simulation;Strategy,Simulation;Strategy;World War II,30,3814,491,219,266,200000-500000,14.99
537920,Supa Kila Monsta Hunta,2016/10/6,1,Tadej Fius,MediaAtlas,windows,0,Single-player;Local Co-op;Shared/Split Screen;Steam Trading Cards;Steam Leaderboards,Violent;Action;Indie;Early Access,Early Access;Action;Indie,0,5,1,0,0,0-20000,5.59
537990,Heroine Anthem Zero -Sacrifice-,2016/12/22,1,WindThunder Studio,WindThunder Studio,windows;mac,0,Single-player;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Indie;RPG,RPG;Anime;Adventure,0,319,195,0,0,50000-100000,7.19
538000,Hop Step Sing! Kisekiteki Shining! (HQ Edition),2017/6/29,1,Kodansha;Polygon Pictures Inc.;Lantis,Degica,windows,0,Single-player;Partial Controller Support,Casual,Casual;VR;Anime,0,30,4,0,0,0-20000,3.99
538040,Dante's Forest,2016/11/15,1,zale15droid,Zale Bush,windows,0,Single-player,Action;Indie;Simulation,Action;Indie;Simulation,0,3,0,0,0,0-20000,0.79
538050,The baron got you again,2017/8/3,1,XXII GROUP,XXII GROUP,windows,0,Single-player;Steam Achievements,Action;Adventure,Action;Adventure;VR,0,6,5,0,0,0-20000,1.99
538060,Doodle God: 8-bit Mania - Collector's Item,2016/11/18,1,JoyBits Ltd.,JoyBits Ltd.,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Casual;Indie;Simulation,Casual;Indie;Simulation,9,61,54,274,274,20000-50000,14.99
538070,Bad Dream: Coma,2017/3/9,1,Desert Fox,PlayWay S.A.;Ultimate Games S.A.,windows;mac,0,Single-player,Adventure;Indie,Adventure;Indie;Horror,21,480,40,364,364,20000-50000,5.99
538100,Feel The Snow,2016/10/14,1,Owlet,Owlet,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation;Early Access,Early Access;Survival;Multiplayer,15,1398,180,174,242,50000-100000,5.99
538110,Delila's Gift,2017/5/22,1,Cabbibo,Cabbibo,windows,0,Single-player,Indie,Indie;VR,0,12,3,0,0,0-20000,0
538170,Raging Titan,2016/10/16,1,Mad Vulture Games,Mad Vulture Games,windows;mac,0,Single-player,Strategy,Strategy;Tower Defense,17,8,2,0,0,0-20000,3.99
538220,HAUNTED: Halloween '85 (Original NES Game),2016/10/30,1,Retrotainment Games,Retrotainment Games,windows,0,Single-player;Full controller support,Action;Indie,Action;Indie;Platformer,0,11,3,0,0,0-20000,5.59
538330,A-Escape VR,2017/3/31,1,CTN Design,A-Escape,windows,0,Single-player,Adventure;Indie,Adventure;Indie;VR,0,10,6,0,0,0-20000,3.99
538390,Crimson Nights,2017/1/2,1,The Crimson Nights Team;Spiky Fish Games,The Crimson Nights Team,windows,0,Single-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards,Action;Adventure;Casual;Indie,Action;Casual;Adventure,14,3,1,0,0,0-20000,6.99
538410,Chicken Chase,2016/10/5,1,Kalan Ray,VKTRY Creative Studios,windows,0,Single-player,Casual;Indie,Indie;Casual;VR,0,5,1,0,0,0-20000,1.99
538470,Remind Yourself,2016/10/18,1,Marcos Dumont,Marcos Dumont,windows,0,Single-player,Indie,Indie;Horror,0,0,3,0,0,0-20000,1.59
538490,Shatter Quest,2016/10/11,1,Dream Totems LLC,Dream Totems LLC,windows,0,Single-player;Steam Achievements,Action;Adventure;Casual;Indie,Action;Adventure;Indie,5,1,2,0,0,0-20000,5.59
538510,Trickshot,2017/4/7,1,Dillon Lewis;Ryan Cunningham;Christopher Conklin;Nathan Lucci;Austin Lewis;Tim Stillmun,NoRulesMakeGame,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Stats;Steam Leaderboards,Adventure;Casual;Indie,Adventure;Indie;Casual,50,1,2,0,0,0-20000,14.99
538550,Party Golf,2016/10/26,1,Giant Margarita,Giant Margarita,windows,0,Single-player;Multi-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards,Indie,Indie;Casual;Sports,57,23,6,0,0,0-20000,10.99
538560,Help Me Doctor,2016/10/7,1,AngryAngelGames,IceTorch Interactive,windows;mac;linux,0,Single-player,Adventure;Casual;Indie;Simulation;Strategy,Casual;Strategy;Adventure,0,4,12,0,0,0-20000,1.99
538590,Sleeping Valley,2016/10/8,1,White Dog,White Dog,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Commentary available,Action;Adventure;Casual;Indie,Casual;Indie;Adventure,0,82,158,218,215,200000-500000,9.99
538680,The Legend of Heroes: Trails of Cold Steel,2017/8/2,1,Nihon Falcom,"XSEED Games;Marvelous USA, Inc.",windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,RPG,JRPG;RPG;Anime,51,2030,92,75,75,100000-200000,29.99
538700,TURGUL: RAPID FIGHTING,2016/12/19,1,dynamicsoulworks,OtakuMaker.com,windows;mac;linux,0,Single-player;Steam Trading Cards,Action;Adventure;Casual;Indie;RPG;Sports,Action;Adventure;Indie,0,0,2,0,0,0-20000,0.79
538710,Dead Hungry,2016/12/5,1,Q-Games Ltd.,Q-Games Ltd.,windows,0,Single-player;Steam Achievements,Action;Casual;Indie,Action;Indie;Casual,20,34,1,0,0,0-20000,5.79
538790,Primal Carnage: Onslaught,2016/12/29,1,Pub Games,Circle 5 Studios,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Action;Indie;Early Access,Early Access;Action;Indie,16,8,10,0,0,0-20000,11.39
538810,Train Mechanic Simulator 2017,2017/3/23,1,Si7 Studio,Si7 Studio,windows,0,Single-player,Simulation,Simulation;Trains;Singleplayer,0,193,133,0,0,20000-50000,5.79
538840,City Climber,2017/2/24,1,Simple Ghost,Simple Ghost,windows;mac;linux,0,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards,Action;Adventure;Casual;Indie;Simulation;Sports,Action;Adventure;Indie,23,103,32,0,0,20000-50000,5.19
538880,Triennale Game Collection,2016/12/7,1,Mario von Rickenbach;Etter Studio;Tale of Tales;Cardboard Computer;Pol Clarissou;Katie Rose Pipkin;Santa Ragione,Santa Ragione;La Triennale di Milano,windows;mac;linux,0,Single-player,Indie,Indie;Experimental;Colorful,0,46,5,0,0,0-20000,0
538900,ZIQ,2018/8/1,1,Midnight Sea Studios,3D Realms,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Indie,Indie,31,9,0,0,0,0-20000,7.99
538920,Fiery Disaster,2016/11/7,1,Vogelf?nger,Vogelf?nger,windows;linux,0,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards,Action;Casual;Indie;Strategy,Strategy;Action;Casual,42,13,15,0,0,0-20000,1.59
538950,Plenty: Skyhearth,2016/10/20,1,Tiny Lions,Tiny Lions Inc.,windows,0,Single-player;Steam Achievements;Stats;Steam Leaderboards,Action;Casual;Free to Play;Indie;RPG,Free to Play;Casual;Action,17,35,6,0,0,20000-50000,0
538990,SugarMill,2016/12/15,1,Aatlantis Code,Aatlantis Code,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Indie;Simulation;Strategy;Early Access,Early Access;Strategy;Simulation,43,30,18,0,0,0-20000,11.39
539050,Super Island God VR,2016/11/14,1,Empyrean Interactive,Empyrean Interactive,windows,0,Single-player,Indie;Simulation;Strategy;Early Access,Early Access;Simulation;Strategy,0,35,18,0,0,0-20000,14.99
539090,Clazer,2016/12/27,1,"SynapticSwitch, LLC","SynapticSwitch, LLC;LeadTech, LLC",windows,0,Single-player;Partial Controller Support;Steam Leaderboards,Simulation;Sports;Early Access,Early Access;Simulation;Sports,0,17,6,0,0,0-20000,22.99
539190,CuVRball,2017/1/31,1,Hypergolic Games,Hypergolic Games,windows,0,Online Multi-Player,Action;Casual;Indie;Sports;Early Access,Early Access;Action;Indie,0,11,1,0,0,0-20000,0
539270,Mahjong,2017/2/20,1,Sanuk Games,Bigben Interactive,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Casual,Casual,10,34,11,0,0,0-20000,6.99
539280,Tetraminos,2017/2/20,1,Sanuk Games,Bigben Interactive,windows,0,Single-player;Multi-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Casual,Casual,17,5,6,0,0,0-20000,6.99
539290,Brick Breaker,2017/2/20,1,Sanuk Games,Bigben Interactive,windows,0,Single-player;Multi-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Casual,Casual,20,6,11,0,0,0-20000,6.99
539300,Solitaire,2017/2/20,1,Sanuk Games,Bigben Interactive,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Casual,Casual;Card Game,10,8,13,0,0,0-20000,6.99
539330,Light Fairytale Episode 1,2018/11/12,1,neko.works,neko.works,windows;mac;linux,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access,Early Access;RPG;Adventure,29,56,9,0,0,0-20000,7.99
539340,Future Unfolding,2017/3/15,1,Spaces of Play UG,Spaces of Play UG,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie,Indie;Adventure;Exploration,12,64,6,0,0,0-20000,14.99
539350,Ball of Light,2016/12/9,1,Nikolay Novikov,!Lim studio,windows,0,Single-player;Full controller support;Steam Trading Cards,Adventure;Casual;Indie,Adventure;Indie;Casual,0,48,48,236,245,200000-500000,2.79
539370,TV Trouble,2016/10/24,1,SUPERCORE Games,zerofiftyone,windows,0,Single-player;Full controller support,Indie,Indie;Puzzle;Arcade,9,25,8,0,0,0-20000,0
539380,Think To Die 2,2016/10/14,1,Felip Guimerà,FelGC.GamesDevelopment,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Casual;Indie;Strategy,Casual;Strategy;Indie,23,66,21,89,89,0-20000,0
539400,Son of a Witch,2018/5/16,1,Bigosaur,Bigosaur,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Leaderboards;Includes level editor,Action;Adventure;Indie,Action;Adventure;Indie,95,155,21,30,30,0-20000,9.99
539440,Citalis,2016/11/3,1,Matt Hooper,Sometimes You,windows;mac,0,Single-player;Steam Trading Cards,Casual;Indie;Simulation,Casual;Indie;Simulation,0,95,80,223,235,100000-200000,1.59
539450,Crab Dub,2017/1/19,1,Anatoliy Loginovskikh,Sometimes You,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Indie;Casual;Platformer,18,156,62,236,247,100000-200000,1.99
539460,Puzzle Cube,2016/10/11,1,ThinkOfGames,ThinkOfGames,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Casual;Indie;Puzzle,10,24,3,210,228,20000-50000,1.99
539560,Vienna Automobile Society,2017/9/15,1,Royal Polygon,Royal Polygon,windows;mac,0,Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Stats,Indie;Racing;Strategy,Strategy;Racing;Indie,20,5,3,0,0,0-20000,10.99
539640,Racecar.io,2016/10/18,1,Kastriot Sulejmani;Brayden Myers,KasSanity,windows;mac,0,Single-player;Online Multi-Player;MMO;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support,Free to Play;Massively Multiplayer;Racing,Free to Play;Racing;Massively Multiplayer,13,149,123,18,29,50000-100000,0
539650,TwelveSky2 Classic,2017/1/27,1,SG Data,RedFox Games,windows,0,Online Multi-Player;MMO;In-App Purchases,Action;Free to Play;Massively Multiplayer,Massively Multiplayer;Free to Play;Action,0,82,51,0,0,50000-100000,0
539660,ChronoClock,2017/2/28,1,Purple Software,Sekai Project,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Casual,Visual Novel;Nudity;Adventure,0,65,3,0,0,0-20000,22.99
539670,Sakura Nova,2016/10/20,1,Winged Cloud,Winged Cloud,windows;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Sexual Content;Nudity;Adventure;Casual;Indie,Nudity;Sexual Content;Anime,15,223,27,312,312,100000-200000,10.99
539690,Nanomedix Inc,2016/10/27,1,ItRuStore Games,TrolleyBuzz LLC,windows;mac,0,Single-player,Casual;Indie;Strategy,Strategy;Indie;Casual,0,2,2,0,0,20000-50000,0.79
539700,SWEATER? OK!,2016/12/16,1,Triple-Star Studio,Rock Path Collective,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Casual;Indie;Simulation,Casual;Indie;Action,43,100,12,0,0,20000-50000,2.89
539720,Razortron 2000,2016/10/12,1,NukGames,NukGames,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Casual;Indie;Racing,Casual;Racing;Indie,9,578,84,272,285,50000-100000,0.79
539750,Kombine,2016/10/14,1,Robert Alvarez,Robert Alvarez,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Casual;Indie;Strategy,Casual;Indie;Strategy,10,54,17,0,0,20000-50000,0.79
539980,Space Cat,2016/12/1,1,argagonky,argagonky,windows;mac,0,Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Full controller support,Action;Adventure;Casual;Indie,Action;Adventure;Indie,0,13,3,0,0,0-20000,3.99
540010,Symphony of the Machine,2017/4/24,1,Stirfire Studios,Stirfire Studios,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie,Indie;VR,13,8,1,0,0,0-20000,10.99
540020,Final Quest II,2016/10/18,1,RPG Video,Back To Basics Gaming,windows,0,Steam Achievements;Steam Trading Cards;Partial Controller Support,Indie;RPG,Indie;RPG;RPGMaker,7,56,65,206,208,200000-500000,0.79
540060,Fabulous - Angela's Fashion Fever,2016/10/19,1,GameHouse,GameHouse,windows,0,Single-player;Steam Achievements;Steam Cloud,Adventure;Casual;Indie;Simulation,Casual;Indie;Adventure,26,59,14,0,0,0-20000,9.99
540100,Imprisoned Light,2016/10/28,1,imaginite Ltd,imaginite Ltd,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Online Co-op;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Action;Adventure;Indie;RPG,RPG;Indie;Action,44,116,56,0,0,0-20000,0.79
540150,Tank Battle: Blitzkrieg,2016/12/7,1,HexWar Games,HexWar Games,windows;mac,0,Single-player,Strategy,Strategy,27,8,5,0,0,0-20000,6.99
540180,Kommissar,2017/4/6,1,Beardserk,Beardserk,windows,0,Single-player,Violent;Adventure;Indie;Simulation;Strategy;Early Access,Early Access;Simulation;Strategy,0,8,18,0,0,0-20000,5.99
540190,Tetropunk,2017/12/13,1,Сrazy Creator;Rosyaev,Rosyaev,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Casual;Indie,Casual;Indie,14,15,6,455,455,20000-50000,2.09
540230,Civil War: 1861,2017/2/1,1,HexWar Games,HexWar Games,windows;mac,0,Single-player,Strategy,Strategy;Turn-Based Strategy;Turn-Based Combat,20,15,7,0,0,0-20000,6.99
540250,Tank Battle: 1945,2017/2/16,1,HexWar Games,HexWar Games,windows;mac,0,Single-player,Strategy,Strategy,15,5,4,0,0,0-20000,6.99
540320,Vulture Island,2016/10/31,1,Donut Games,Donut Games,windows,0,Single-player;Full controller support;Steam Cloud,Action;Adventure;Casual;Indie,Action;Indie;Casual,0,8,2,0,0,0-20000,3.99
540360,Jewel Quest Seven Seas Collector's Edition,2016/11/2,1,"iWin, Inc.","iWin, Inc.",windows;mac,0,Single-player,Casual,Casual;Match 3,0,2,2,0,0,0-20000,9.99
